"eau_id","cell_id","wmd_id_num","wmd_id","area_km2","x_coord","y_coord"
333,556,5,"Crosby Lostwood",17709.5946275,-489770.001254706,2894820.25437717
334,557,5,"Crosby Lostwood",17709.5946275,-471256.464422941,2894820.25437717
335,558,5,"Crosby Lostwood",17709.5946275,-452742.927591177,2894820.25437717
336,636,5,"Crosby Lostwood",17709.5946275,-582337.68541353,2876335.04329674
337,637,5,"Crosby Lostwood",17709.5946275,-563824.148581765,2876335.04329674
338,638,5,"Crosby Lostwood",17709.5946275,-545310.61175,2876335.04329674
339,639,5,"Crosby Lostwood",17709.5946275,-526797.074918235,2876335.04329674
340,640,5,"Crosby Lostwood",17709.5946275,-508283.538086471,2876335.04329674
341,641,5,"Crosby Lostwood",17709.5946275,-489770.001254706,2876335.04329674
342,642,5,"Crosby Lostwood",17709.5946275,-471256.464422941,2876335.04329674
343,643,5,"Crosby Lostwood",17709.5946275,-452742.927591177,2876335.04329674
344,721,5,"Crosby Lostwood",17709.5946275,-582337.68541353,2857849.8322163
345,722,5,"Crosby Lostwood",17709.5946275,-563824.148581765,2857849.8322163
346,723,5,"Crosby Lostwood",17709.5946275,-545310.61175,2857849.8322163
347,724,5,"Crosby Lostwood",17709.5946275,-526797.074918235,2857849.8322163
348,725,5,"Crosby Lostwood",17709.5946275,-508283.538086471,2857849.8322163
349,726,5,"Crosby Lostwood",17709.5946275,-489770.001254706,2857849.8322163
350,727,5,"Crosby Lostwood",17709.5946275,-471256.464422941,2857849.8322163
351,728,5,"Crosby Lostwood",17709.5946275,-452742.927591177,2857849.8322163
352,805,5,"Crosby Lostwood",17709.5946275,-600851.222245294,2839364.62113587
353,806,5,"Crosby Lostwood",17709.5946275,-582337.68541353,2839364.62113587
354,807,5,"Crosby Lostwood",17709.5946275,-563824.148581765,2839364.62113587
355,808,5,"Crosby Lostwood",17709.5946275,-545310.61175,2839364.62113587
356,809,5,"Crosby Lostwood",17709.5946275,-526797.074918235,2839364.62113587
357,810,5,"Crosby Lostwood",17709.5946275,-508283.538086471,2839364.62113587
358,811,5,"Crosby Lostwood",17709.5946275,-489770.001254706,2839364.62113587
359,812,5,"Crosby Lostwood",17709.5946275,-471256.464422941,2839364.62113587
360,813,5,"Crosby Lostwood",17709.5946275,-452742.927591177,2839364.62113587
361,890,5,"Crosby Lostwood",17709.5946275,-600851.222245294,2820879.41005543
362,891,5,"Crosby Lostwood",17709.5946275,-582337.68541353,2820879.41005543
363,892,5,"Crosby Lostwood",17709.5946275,-563824.148581765,2820879.41005543
364,893,5,"Crosby Lostwood",17709.5946275,-545310.61175,2820879.41005543
365,894,5,"Crosby Lostwood",17709.5946275,-526797.074918235,2820879.41005543
366,895,5,"Crosby Lostwood",17709.5946275,-508283.538086471,2820879.41005543
367,896,5,"Crosby Lostwood",17709.5946275,-489770.001254706,2820879.41005543
368,897,5,"Crosby Lostwood",17709.5946275,-471256.464422941,2820879.41005543
369,898,5,"Crosby Lostwood",17709.5946275,-452742.927591177,2820879.41005543
