alignment,scenario,wmd_id,year,wmd_total
current,rcp85_wet,Crosby Lostwood,2060,452985.3323599998
current,rcp85_wet,Crosby Lostwood,2070,420582.5182200001
current,rcp85_wet,Crosby Lostwood,2080,388179.7040800002
current,rcp85_wet,Crosby Lostwood,2090,355776.88994
current,rcp85_wet,Crosby Lostwood,2100,323374.0758
current,rcp85_wet,Detroit Lakes,2020,69934.98651999999
current,rcp85_wet,Detroit Lakes,2030,70488.7940066667
current,rcp85_wet,Detroit Lakes,2040,71042.60149333335
current,rcp85_wet,Detroit Lakes,2050,71596.40897999998
current,rcp85_wet,Detroit Lakes,2060,70065.18706
current,rcp85_wet,Detroit Lakes,2070,68533.96513999999
current,rcp85_wet,Detroit Lakes,2080,67002.74322
current,rcp85_wet,Detroit Lakes,2090,65471.52130000001
current,rcp85_wet,Detroit Lakes,2100,63940.29938000002
current,rcp85_wet,Devils Lake,2020,480253.87460000004
current,rcp85_wet,Devils Lake,2030,480211.8986999997
current,rcp85_wet,Devils Lake,2040,480169.92280000006
current,rcp85_wet,Devils Lake,2050,480127.9469000002
current,rcp85_wet,Devils Lake,2060,457585.52282000025
current,rcp85_wet,Devils Lake,2070,435043.0987399998
current,rcp85_wet,Devils Lake,2080,412500.6746600001
current,rcp85_wet,Devils Lake,2090,389958.25057999993
current,rcp85_wet,Devils Lake,2100,367415.8265000002
current,rcp85_wet,Fergus Falls,2020,28446.327889999997
current,rcp85_wet,Fergus Falls,2030,28635.677486666667
current,rcp85_wet,Fergus Falls,2040,28825.02708333333
current,rcp85_wet,Fergus Falls,2050,29014.37668
current,rcp85_wet,Fergus Falls,2060,28155.563392000004
current,rcp85_wet,Fergus Falls,2070,27296.750103999995
current,rcp85_wet,Fergus Falls,2080,26437.936816
current,rcp85_wet,Fergus Falls,2090,25579.123528
current,rcp85_wet,Fergus Falls,2100,24720.31023999999
current,rcp85_wet,Huron,2020,444778.8755000001
current,rcp85_wet,Huron,2030,459907.96640000027
current,rcp85_wet,Huron,2040,475037.0573
current,rcp85_wet,Huron,2050,490166.14820000005
current,rcp85_wet,Huron,2060,458833.5313799999
current,rcp85_wet,Huron,2070,427500.91456000006
current,rcp85_wet,Huron,2080,396168.2977400002
current,rcp85_wet,Huron,2090,364835.68092000013
current,rcp85_wet,Huron,2100,333503.0641
current,rcp85_wet,Iowa,2020,24762.087509999994
current,rcp85_wet,Iowa,2030,24633.498913333326
current,rcp85_wet,Iowa,2040,24504.91031666667
current,rcp85_wet,Iowa,2050,24376.321720000004
current,rcp85_wet,Iowa,2060,23580.671849999995
current,rcp85_wet,Iowa,2070,22785.02198000001
current,rcp85_wet,Iowa,2080,21989.37211000001
current,rcp85_wet,Iowa,2090,21193.722239999996
current,rcp85_wet,Iowa,2100,20398.07237
current,rcp85_wet,J. Clark Salyer,2020,430328.18189999985
current,rcp85_wet,J. Clark Salyer,2030,429093.1715666667
current,rcp85_wet,J. Clark Salyer,2040,427858.16123333323
current,rcp85_wet,J. Clark Salyer,2050,426623.15090000007
current,rcp85_wet,J. Clark Salyer,2060,408716.38454000006
current,rcp85_wet,J. Clark Salyer,2070,390809.61818000005
