eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,trans_prob,cost,eau_row,total_prop_suitable,habitat_share
4,Arrowwood,2100,45,wet,0.657418042893799,286040.139,11710.50565475907,NA,NA,4,16.05805538328986,0.0409400781851776
4,Arrowwood,2100,85,dry,0.658556455721505,140613.6384,5742.850675296111,NA,NA,4,16.124747893786147,0.040841348966161956
4,Arrowwood,2100,85,wet,0.658556455721505,277661.8998,11340.086544339296,NA,NA,4,16.124747893786147,0.040841348966161956
4,Arrowwood,2100,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
5,Arrowwood,2020,baseline,baseline,0.508689434974801,377952.1345,11111.291120415883,NA,NA,NA,17.303142871764564,0.02939867275816611
5,Arrowwood,2030,45,dry,0.506360872606385,325719.4731333333,9710.3256031867,NA,NA,5,16.98517674696304,0.02981192837436458
5,Arrowwood,2030,45,wet,0.506360872606385,344932.7533333333,10283.110536345697,NA,NA,5,16.98517674696304,0.02981192837436458
5,Arrowwood,2030,85,dry,0.506360872606385,302184.3961333333,9008.461428971837,NA,NA,5,16.98562576091,0.029811140297916042
5,Arrowwood,2030,85,wet,0.506360872606385,375952.90129999997,11207.58468606288,NA,NA,5,16.98562576091,0.029811140297916042
5,Arrowwood,2030,stationary,stationary,0.508689434974801,377952.1345,11111.291120415883,NA,NA,NA,17.303142871764564,0.02939867275816611
5,Arrowwood,2040,45,dry,0.50390549169721,273486.81176666665,8293.130567020502,NA,NA,5,16.617549337040817,0.030323694636127576
5,Arrowwood,2040,45,wet,0.50390549169721,311913.37216666667,9458.365850506814,NA,NA,5,16.617549337040817,0.030323694636127576
5,Arrowwood,2040,85,dry,0.504107679263972,226416.65776666667,6863.010205324376,NA,NA,5,16.630949463678473,0.030311419102374705
5,Arrowwood,2040,85,wet,0.504107679263972,373953.6681,11335.06635864943,NA,NA,5,16.630949463678473,0.030311419102374705
5,Arrowwood,2040,stationary,stationary,0.508689434974801,377952.1345,11111.291120415883,NA,NA,NA,17.303142871764564,0.02939867275816611
5,Arrowwood,2050,45,dry,0.491235946117668,221254.1504,6716.200923043801,NA,NA,5,16.182957173197124,0.03035514095849386
5,Arrowwood,2050,45,wet,0.491235946117668,278893.991,8465.866409281918,NA,NA,5,16.182957173197124,0.03035514095849386
5,Arrowwood,2050,85,dry,0.491459140184873,150648.9194,4568.2140068564195,NA,NA,5,16.207162862112227,0.03032357633264523
5,Arrowwood,2050,85,wet,0.491459140184873,371954.4349,11278.988698956071,NA,NA,5,16.207162862112227,0.03032357633264523
5,Arrowwood,2050,stationary,stationary,0.508689434974801,377952.1345,11111.291120415883,NA,NA,NA,17.303142871764564,0.02939867275816611
5,Arrowwood,2060,45,dry,0.494469018854759,207673.3342,6343.779225278693,NA,NA,5,16.18720106068307,0.03054691277393038
5,Arrowwood,2060,45,wet,0.494469018854759,280323.2206,8563.008968175443,NA,NA,5,16.18720106068307,0.03054691277393038
5,Arrowwood,2060,85,dry,0.494637070858301,148641.86320000002,4530.687397335549,NA,NA,5,16.227951604740348,0.030480561127247417
5,Arrowwood,2060,85,wet,0.494637070858301,353095.92788,10762.562013528484,NA,NA,5,16.227951604740348,0.030480561127247417
5,Arrowwood,2060,stationary,stationary,0.508689434974801,377952.1345,11111.291120415883,NA,NA,NA,17.303142871764564,0.02939867275816611
5,Arrowwood,2070,45,dry,0.497656755296948,194092.518,5980.890534169869,NA,NA,5,16.150011805675206,0.030814637245160932
5,Arrowwood,2070,45,wet,0.497656755296948,281752.4502,8682.099545848272,NA,NA,5,16.150011805675206,0.030814637245160932
5,Arrowwood,2070,85,dry,0.497730278048498,146634.807,4507.495124181276,NA,NA,5,16.191827444950256,0.030739598710565873
5,Arrowwood,2070,85,wet,0.497730278048498,334237.42086,10274.32419129092,NA,NA,5,16.191827444950256,0.030739598710565873
5,Arrowwood,2070,stationary,stationary,0.508689434974801,377952.1345,11111.291120415883,NA,NA,NA,17.303142871764564,0.02939867275816611
5,Arrowwood,2080,45,dry,0.499350404395146,180511.7018,5595.879049700305,NA,NA,5,16.10803065815254,0.031000090265063937
5,Arrowwood,2080,45,wet,0.499350404395146,283181.6798,8778.657635212432,NA,NA,5,16.10803065815254,0.031000090265063937
5,Arrowwood,2080,85,dry,0.499731147215671,144627.7508,4467.993039308755,NA,NA,5,16.176164821798352,0.03089305485699882
5,Arrowwood,2080,85,wet,0.499731147215671,315378.91384,9743.018085999824,NA,NA,5,16.176164821798352,0.03089305485699882
5,Arrowwood,2080,stationary,stationary,0.508689434974801,377952.1345,11111.291120415883,NA,NA,NA,17.303142871764564,0.02939867275816611
5,Arrowwood,2090,45,dry,0.503638356298025,166930.8856,5230.36330715796,NA,NA,5,16.07398796253803,0.03133250799190608
5,Arrowwood,2090,45,wet,0.503638356298025,284610.9094,8917.573593359157,NA,NA,5,16.07398796253803,0.03133250799190608
